run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.med_dt,metrics.mdt,metrics.std,params.random_max_time_warp_percent,params.max_noise_temperature,params.random_warp_status_times,params.pred_hor,params.max_noise,params.n_aug,params.add_noise,params.model_class,params.add_noise_temperature,params.n_dev,params.by_metric,tags.mlflow.user,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.name
f8159370eff34c95a869532c30a9c154,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/f8159370eff34c95a869532c30a9c154/artifacts,2024-07-14 23:30:25.900000+00:00,2024-07-14 23:34:01.770000+00:00,21.625,40.92522806190716,47.85897246086447,1.0,0,True,1,20,3,True,LinearRegression,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T01:30:25,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
663b505bcd4d47158a7cee5bace45cf8,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/663b505bcd4d47158a7cee5bace45cf8/artifacts,2024-07-14 23:28:08.583000+00:00,2024-07-14 23:30:25.815000+00:00,24.25,43.08849713088844,46.44611818116034,1.0,0,True,1,20,1,True,LinearRegression,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T01:28:08,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
06ed42c8049143e4acd91d1122bb3bc1,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/06ed42c8049143e4acd91d1122bb3bc1/artifacts,2024-07-14 23:19:21.476000+00:00,2024-07-14 23:28:08.494000+00:00,23.875,38.69929686558108,42.2865513339905,1.0,5,True,1,20,10,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T01:19:21,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
472de247b5f34dd2b8a4f6548ea67152,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/472de247b5f34dd2b8a4f6548ea67152/artifacts,2024-07-14 23:14:04.323000+00:00,2024-07-14 23:19:21.384000+00:00,25.25,38.27783938144014,35.758624271028026,1.0,5,True,1,20,5,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T01:14:04,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
c39d3b47cbc346078952d7733116cda6,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/c39d3b47cbc346078952d7733116cda6/artifacts,2024-07-14 23:10:17.255000+00:00,2024-07-14 23:14:04.236000+00:00,26.5,40.464766802062634,38.749206640458205,1.0,5,True,1,20,3,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T01:10:17,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
3e37e6e353364560a83034779ad99957,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/3e37e6e353364560a83034779ad99957/artifacts,2024-07-14 23:07:48.457000+00:00,2024-07-14 23:10:17.165000+00:00,23.5,35.92123267559314,35.859295763665244,1.0,5,True,1,20,1,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T01:07:48,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
83e786d4fc934ae18a41c577926244b1,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/83e786d4fc934ae18a41c577926244b1/artifacts,2024-07-14 22:59:32.841000+00:00,2024-07-14 23:07:48.370000+00:00,24.25,38.87556022408964,42.18659186352094,0.5,0,True,1,10,10,True,DecisionTreeRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:59:32,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
8c53bd4ea18f4b83af5b9672d5698705,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/8c53bd4ea18f4b83af5b9672d5698705/artifacts,2024-07-14 22:54:29.166000+00:00,2024-07-14 22:59:32.756000+00:00,23.5,37.83748138717651,40.70873315936599,0.5,0,True,1,10,5,True,DecisionTreeRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:54:29,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
17a4d68affe74c909f42bc38e22e0ee3,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/17a4d68affe74c909f42bc38e22e0ee3/artifacts,2024-07-14 22:50:57.368000+00:00,2024-07-14 22:54:29.081000+00:00,23.5,38.411482526631985,41.684210417124675,0.5,0,True,1,10,3,True,DecisionTreeRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:50:57,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
329f52984fdb4d87b94b0f1f17150425,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/329f52984fdb4d87b94b0f1f17150425/artifacts,2024-07-14 22:48:42.314000+00:00,2024-07-14 22:50:57.283000+00:00,28.125,44.18936688311688,47.05076709625209,0.5,0,True,1,10,1,True,DecisionTreeRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:48:42,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
28dc6050772840b398910f3eecfe37c2,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/28dc6050772840b398910f3eecfe37c2/artifacts,2024-07-14 22:40:27.178000+00:00,2024-07-14 22:48:42.226000+00:00,19.875,38.68167850121108,46.790946219188115,1.0,0,True,1,20,10,True,LinearRegression,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:40:27,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
eebd7369470a44839f90ba8c9cba0190,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/eebd7369470a44839f90ba8c9cba0190/artifacts,2024-07-14 22:35:33.605000+00:00,2024-07-14 22:40:27.091000+00:00,20.375,38.06774467054264,43.71957665973661,1.0,0,True,1,20,5,True,LinearRegression,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:35:33,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
76fa041d106a4c70bd0c2759e797816f,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/76fa041d106a4c70bd0c2759e797816f/artifacts,2024-07-14 22:31:52.433000+00:00,2024-07-14 22:35:33.520000+00:00,21.375,41.19815887896459,48.61324449205202,1.0,0,True,1,20,3,True,LinearRegression,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:31:52,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
4b8a955a5f8f4e488029af603366cce6,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/4b8a955a5f8f4e488029af603366cce6/artifacts,2024-07-14 22:29:34.589000+00:00,2024-07-14 22:31:52.348000+00:00,27.375,44.461901997091715,48.060541396707926,1.0,0,True,1,20,1,True,LinearRegression,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:29:34,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
9f7f4f8d274343bbb5cb50d9f010eafb,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/9f7f4f8d274343bbb5cb50d9f010eafb/artifacts,2024-07-14 22:20:40.329000+00:00,2024-07-14 22:29:34.499000+00:00,23.5,39.56659883007247,42.688064984105225,1.0,5,True,1,20,10,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:20:40,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
e8ecd3238f7346c6ab413b8628c5bf2a,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/e8ecd3238f7346c6ab413b8628c5bf2a/artifacts,2024-07-14 22:15:22.122000+00:00,2024-07-14 22:20:40.242000+00:00,23.125,41.51161731584526,47.00306302302431,1.0,5,True,1,20,5,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:15:22,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
7bb57f7962694e2f899f32f6d30baa42,397025654456766034,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/397025654456766034/7bb57f7962694e2f899f32f6d30baa42/artifacts,2024-07-14 22:11:28.653000+00:00,2024-07-14 22:15:22.036000+00:00,21.25,38.47076403326403,42.19300225684171,1.0,5,True,1,20,3,True,XGBRegressor,True,40,metrics.mdt,nkuechen,LOCAL,2024-07-15T00:11:28,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
