run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.ibs,metrics.c_index_ipcw,params.max_noise,params.model_class,params.add_noise,params.by_metric,params.n_aug,params.n_dev,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.source.type
70fa63a7a7184c0da74c1ffc1e064fde,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/70fa63a7a7184c0da74c1ffc1e064fde/artifacts,2024-07-12 22:07:01.612000+00:00,2024-07-12 22:10:40.457000+00:00,0.08729619803959376,0.8706616919710064,10,CoxPHFitter,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-13T00:07:01,LOCAL
6ed8515b78c547548ee0994442f4b978,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/6ed8515b78c547548ee0994442f4b978/artifacts,2024-07-12 22:03:16.431000+00:00,2024-07-12 22:07:01.494000+00:00,0.14286935636973822,0.9405842871313728,0,CoxPHFitter,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-13T00:03:16,LOCAL
9bf4049a8cf94d8bb7a038a86775c8b1,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/9bf4049a8cf94d8bb7a038a86775c8b1/artifacts,2024-07-12 21:59:24.919000+00:00,2024-07-12 22:03:16.307000+00:00,0.07137296477620894,0.9032985828954524,20,RandomSurvivalForest,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:59:24,LOCAL
9307860666124150a45d13e30e3c843e,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/9307860666124150a45d13e30e3c843e/artifacts,2024-07-12 21:55:34.183000+00:00,2024-07-12 21:59:24.791000+00:00,0.07616374335445959,0.8797832793305128,10,RandomSurvivalForest,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:55:34,LOCAL
70bcfeca23854abf8884e281c038da13,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/70bcfeca23854abf8884e281c038da13/artifacts,2024-07-12 21:51:47.546000+00:00,2024-07-12 21:55:34.057000+00:00,0.12862091025205022,0.9170407137330226,0,RandomSurvivalForest,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:51:47,LOCAL
786537264c484970aeff0a033a4cce75,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/786537264c484970aeff0a033a4cce75/artifacts,2024-07-12 21:48:00.287000+00:00,2024-07-12 21:51:47.423000+00:00,0.07849916306205942,0.8934030329832127,20,CoxPHFitter,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:48:00,LOCAL
766313e59f0640a698c5bc41f94a1bfd,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/766313e59f0640a698c5bc41f94a1bfd/artifacts,2024-07-12 21:44:10.122000+00:00,2024-07-12 21:48:00.162000+00:00,0.07403190408091762,0.8933113798250336,10,CoxPHFitter,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:44:10,LOCAL
fbc82921c0104e26ae3bf88dcfe246c4,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/fbc82921c0104e26ae3bf88dcfe246c4/artifacts,2024-07-12 21:40:17.567000+00:00,2024-07-12 21:44:09.985000+00:00,0.12068508713220899,0.911025265517968,0,CoxPHFitter,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:40:17,LOCAL
0c8dae9c747542b498060469d3edbb38,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/0c8dae9c747542b498060469d3edbb38/artifacts,2024-07-12 21:36:29.185000+00:00,2024-07-12 21:40:17.454000+00:00,0.0773997620440714,0.898693953738668,20,RandomSurvivalForest,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:36:29,LOCAL
741b3a5f3aaa4f8486d9bbe6cfec9b96,722659421398569041,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/722659421398569041/741b3a5f3aaa4f8486d9bbe6cfec9b96/artifacts,2024-07-12 21:32:38.302000+00:00,2024-07-12 21:36:29.064000+00:00,0.08673958111549417,0.9077714270656202,10,RandomSurvivalForest,True,metrics.c_index_ipcw,1,63,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,2024-07-12T23:32:38,LOCAL
