run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.ibs,metrics.c_index_ipcw,params.random_warp_status_times,params.model_class,params.add_noise_temperature,params.by_metric,params.n_dev,params.add_noise,params.max_noise,params.max_noise_temperature,params.random_max_time_warp_percent,params.n_aug,tags.mlflow.runName,tags.mlflow.user,tags.mlflow.source.type,tags.mlflow.source.name
32f4da7c48974df388854d84aa908484,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/32f4da7c48974df388854d84aa908484/artifacts,2024-07-14 16:21:21.427000+00:00,2024-07-14 16:25:23.645000+00:00,0.10804761788839135,0.8895697055362562,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,3,2024-07-14T18:21:21,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
850d907bddbf43b686a11d88cb7ccbf2,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/850d907bddbf43b686a11d88cb7ccbf2/artifacts,2024-07-14 16:18:55.874000+00:00,2024-07-14 16:21:21.341000+00:00,0.0966723856644519,0.9081821378446066,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,1,2024-07-14T18:18:55,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
e9a34c6e1d5b4b8181175c3367204cf0,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/e9a34c6e1d5b4b8181175c3367204cf0/artifacts,2024-07-14 16:08:48.675000+00:00,2024-07-14 16:18:55.776000+00:00,0.15304135863767487,0.8892474401313115,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,10,2024-07-14T18:08:48,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
5c671865faf542dca8c7745563a4eb48,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/5c671865faf542dca8c7745563a4eb48/artifacts,2024-07-14 16:03:17.394000+00:00,2024-07-14 16:08:48.584000+00:00,0.12204085893241105,0.9252914811497583,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,5,2024-07-14T18:03:17,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
8b3ee6fb6ba04508b2c0a767a260b388,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/8b3ee6fb6ba04508b2c0a767a260b388/artifacts,2024-07-14 15:59:12.350000+00:00,2024-07-14 16:03:17.298000+00:00,0.09163829225104378,0.8591310408877293,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,3,2024-07-14T17:59:12,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
bf8a8061f24945d298cfbb0405a44d2f,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/bf8a8061f24945d298cfbb0405a44d2f/artifacts,2024-07-14 15:56:58.460000+00:00,2024-07-14 15:59:12.258000+00:00,0.08892580499024375,0.8901404708012876,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,1,2024-07-14T17:56:58,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
20c01747b5bd40f4acd128169e913d3b,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/20c01747b5bd40f4acd128169e913d3b/artifacts,2024-07-14 15:47:32.042000+00:00,2024-07-14 15:56:58.370000+00:00,0.1781749899912085,0.8652675118909332,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,10,2024-07-14T17:47:32,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
debf91e192304b58a2115ffe7ae5f592,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/debf91e192304b58a2115ffe7ae5f592/artifacts,2024-07-14 15:41:56.699000+00:00,2024-07-14 15:47:31.952000+00:00,0.15656689911856678,0.847868857841255,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,5,2024-07-14T17:41:56,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
d9dcad8c87e04f49aed9ea717aec4026,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/d9dcad8c87e04f49aed9ea717aec4026/artifacts,2024-07-14 15:38:14.387000+00:00,2024-07-14 15:41:56.619000+00:00,0.12452207268031334,0.8655520718821893,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,3,2024-07-14T17:38:14,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
1ea1525fb7894b80a90eef09a409a112,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/1ea1525fb7894b80a90eef09a409a112/artifacts,2024-07-14 15:36:10.408000+00:00,2024-07-14 15:38:14.306000+00:00,0.07940849707619588,0.885833946306253,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,1,2024-07-14T17:36:10,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
832d23ef4bb546d197eca29f154e618d,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/832d23ef4bb546d197eca29f154e618d/artifacts,2024-07-14 15:27:37.119000+00:00,2024-07-14 15:36:10.326000+00:00,0.1468012450362682,0.878674430252512,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,10,2024-07-14T17:27:37,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
5f70d19186de445184221828ba269c25,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/5f70d19186de445184221828ba269c25/artifacts,2024-07-14 15:22:41.656000+00:00,2024-07-14 15:27:37.040000+00:00,0.14113175318000665,0.8772994625738825,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,5,2024-07-14T17:22:41,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
b496f434f4d94800a8e74c475c7d9646,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/b496f434f4d94800a8e74c475c7d9646/artifacts,2024-07-14 15:19:09.946000+00:00,2024-07-14 15:22:41.576000+00:00,0.11640690669901553,0.8817257494695923,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,3,2024-07-14T17:19:09,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
62e702c9a7754ff4a528be5baeefba4d,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/62e702c9a7754ff4a528be5baeefba4d/artifacts,2024-07-14 15:17:00.647000+00:00,2024-07-14 15:19:09.864000+00:00,0.07759543246606404,0.855927438675814,True,CoxPHFitter,True,metrics.ibs,40,True,20,5,1.0,1,2024-07-14T17:17:00,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
6e9e3b1bb7584810b71ee4f2257c4de2,549101132328494905,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/549101132328494905/6e9e3b1bb7584810b71ee4f2257c4de2/artifacts,2024-07-14 15:06:51.809000+00:00,2024-07-14 15:17:00.563000+00:00,0.13721107196779345,0.8777472583578054,True,RandomSurvivalForest,True,metrics.ibs,40,True,20,0,1.0,10,2024-07-14T17:06:51,nkuechen,LOCAL,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
