run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.med_dt,metrics.mdt,metrics.std,params.add_noise,params.n_dev,params.max_noise,params.n_aug,params.pred_hor,params.by_metric,params.model_class,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.user,tags.mlflow.source.name
02e4a1fd80e44ec39bd72d7800a00aec,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/02e4a1fd80e44ec39bd72d7800a00aec/artifacts,2024-07-12 23:17:55.928000+00:00,2024-07-12 23:22:11.653000+00:00,28.75,42.82194073132954,43.167099314760875,True,63,10,1,1,metrics.mdt,LinearRegression,2024-07-13T01:17:55,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
a162876644b94bd1a24c63e53e30672c,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/a162876644b94bd1a24c63e53e30672c/artifacts,2024-07-12 23:13:43.806000+00:00,2024-07-12 23:17:55.826000+00:00,24.125,41.22040267011197,45.092698276391026,True,63,0,1,1,metrics.mdt,LinearRegression,2024-07-13T01:13:43,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
274dc7536fb74d71bde9df5cc91ffaef,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/274dc7536fb74d71bde9df5cc91ffaef/artifacts,2024-07-12 22:58:41.362000+00:00,2024-07-12 23:13:43.708000+00:00,28.75,40.57578775435918,39.08971232832093,True,63,20,1,1,metrics.mdt,XGBRegressor,2024-07-13T00:58:41,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
9406703073f6441890da2e98ad7963aa,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/9406703073f6441890da2e98ad7963aa/artifacts,2024-07-12 22:44:23.638000+00:00,2024-07-12 22:58:41.263000+00:00,24.375,35.87229694246703,32.66277991137468,True,63,10,1,1,metrics.mdt,XGBRegressor,2024-07-13T00:44:23,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
cdb7e8e2195d4714ba6fd8e12d2a722f,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/cdb7e8e2195d4714ba6fd8e12d2a722f/artifacts,2024-07-12 22:30:15.773000+00:00,2024-07-12 22:44:23.532000+00:00,21.5,34.845424972314504,41.57730164670806,True,63,0,1,1,metrics.mdt,XGBRegressor,2024-07-13T00:30:15,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
04434f6199274886adfd239facbf1ad4,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/04434f6199274886adfd239facbf1ad4/artifacts,2024-07-12 22:26:02.723000+00:00,2024-07-12 22:30:15.670000+00:00,22.5,38.057735247208925,41.946256621314284,True,63,20,1,1,metrics.mdt,DecisionTreeRegressor,2024-07-13T00:26:02,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
b0640a01a7ed4509ba37f7ddd814e756,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/b0640a01a7ed4509ba37f7ddd814e756/artifacts,2024-07-12 22:21:45.868000+00:00,2024-07-12 22:26:02.623000+00:00,24.375,39.08726306287282,43.33527689741051,True,63,10,1,1,metrics.mdt,DecisionTreeRegressor,2024-07-13T00:21:45,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
f6fb88d3c47d4a35b399e40c6fe93513,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/f6fb88d3c47d4a35b399e40c6fe93513/artifacts,2024-07-12 22:17:28.561000+00:00,2024-07-12 22:21:45.768000+00:00,21.75,40.61282423538521,48.41517278913039,True,63,0,1,1,metrics.mdt,DecisionTreeRegressor,2024-07-13T00:17:28,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
45ac195c3d7b4c61a5010ae379577535,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/45ac195c3d7b4c61a5010ae379577535/artifacts,2024-07-12 22:13:14.808000+00:00,2024-07-12 22:17:28.461000+00:00,27.25,41.41570081745031,40.2964911008655,True,63,20,1,1,metrics.mdt,LinearRegression,2024-07-13T00:13:14,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
7f3070bfc7124bf4a831612cdb9cf848,907516279037110457,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/907516279037110457/7f3070bfc7124bf4a831612cdb9cf848/artifacts,2024-07-12 22:09:00.412000+00:00,2024-07-12 22:13:14.708000+00:00,26.0,41.03825549584997,42.23574806179003,True,63,10,1,1,metrics.mdt,LinearRegression,2024-07-13T00:09:00,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
