run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.c_index_ipcw,metrics.ibs,params.model_class,params.n_aug,params.random_max_time_warp_percent,params.random_warp_status_times,params.by_metric,params.n_dev,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.user,tags.mlflow.source.name
a78003ee6d9045829bf2dc4e55091067,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/a78003ee6d9045829bf2dc4e55091067/artifacts,2024-07-13 01:15:44.066000+00:00,2024-07-13 01:19:35.635000+00:00,0.9127422813738202,0.0848494059540229,CoxPHFitter,1,0.5,True,metrics.c_index_ipcw,63,2024-07-13T03:15:44,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
97639a8a2cd843e9b95c598c6f59ae56,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/97639a8a2cd843e9b95c598c6f59ae56/artifacts,2024-07-13 01:11:52.488000+00:00,2024-07-13 01:15:43.960000+00:00,0.9090590694321012,0.11067256890881923,CoxPHFitter,1,0,True,metrics.c_index_ipcw,63,2024-07-13T03:11:52,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
00ad1dd3d1be4b4eac401536114a6d07,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/00ad1dd3d1be4b4eac401536114a6d07/artifacts,2024-07-13 01:08:04.836000+00:00,2024-07-13 01:11:52.388000+00:00,0.899532672442023,0.08561132471828832,RandomSurvivalForest,1,1,True,metrics.c_index_ipcw,63,2024-07-13T03:08:04,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
d882e1e1a6c14b93ab6df585f4fadea3,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/d882e1e1a6c14b93ab6df585f4fadea3/artifacts,2024-07-13 01:04:14.652000+00:00,2024-07-13 01:08:04.723000+00:00,0.912703599851106,0.07820906831097763,RandomSurvivalForest,1,0.5,True,metrics.c_index_ipcw,63,2024-07-13T03:04:14,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
1e44fb04ed0b48b9ae5ca889bf9a197f,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/1e44fb04ed0b48b9ae5ca889bf9a197f/artifacts,2024-07-13 01:00:23.303000+00:00,2024-07-13 01:04:14.547000+00:00,0.9138342006202285,0.11783726789083249,RandomSurvivalForest,1,0,True,metrics.c_index_ipcw,63,2024-07-13T03:00:23,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
ac2855655aad4f26bf22d52df3c2406e,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/ac2855655aad4f26bf22d52df3c2406e/artifacts,2024-07-13 00:56:31.060000+00:00,2024-07-13 01:00:23.192000+00:00,0.9020389527677235,0.07810448528374997,CoxPHFitter,1,1,True,metrics.c_index_ipcw,63,2024-07-13T02:56:31,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
175af747d5654df481cf72952c5e7872,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/175af747d5654df481cf72952c5e7872/artifacts,2024-07-13 00:52:35.565000+00:00,2024-07-13 00:56:30.946000+00:00,0.9045550650189695,0.08518568912427554,CoxPHFitter,1,0.5,True,metrics.c_index_ipcw,63,2024-07-13T02:52:35,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
86855da5c04d499980ed7af66afb57ed,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/86855da5c04d499980ed7af66afb57ed/artifacts,2024-07-13 00:48:46.271000+00:00,2024-07-13 00:52:35.456000+00:00,0.9028899961926846,0.12998309881931902,CoxPHFitter,1,0,True,metrics.c_index_ipcw,63,2024-07-13T02:48:46,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
0be69b98f8ae40f3a556c56d3dfcfc8a,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/0be69b98f8ae40f3a556c56d3dfcfc8a/artifacts,2024-07-13 00:45:02.945000+00:00,2024-07-13 00:48:46.166000+00:00,0.8988863020402614,0.08179008060519352,RandomSurvivalForest,1,1,True,metrics.c_index_ipcw,63,2024-07-13T02:45:02,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
284d5e4474314f80b78f516e2b2f9578,498940377533771453,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/498940377533771453/284d5e4474314f80b78f516e2b2f9578/artifacts,2024-07-13 00:41:23.158000+00:00,2024-07-13 00:45:02.846000+00:00,0.9055566951528035,0.08500733303942198,RandomSurvivalForest,1,0.5,True,metrics.c_index_ipcw,63,2024-07-13T02:41:23,LOCAL,nkuechen,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
